date,hospitalCases,newDailyNsoDeathsByDeathDate
2022-10-07,11924,35
2022-10-06,11747,44
2022-10-05,11434,60
2022-10-04,11068,68
2022-10-03,10569,64
2022-10-02,10052,52
2022-10-01,9702,64
2022-09-30,9266,54
2022-09-29,8830,59
2022-09-28,8568,54
2022-09-27,8307,61
2022-09-26,7946,60
2022-09-25,7481,37
2022-09-24,7200,44
2022-09-23,6976,49
2022-09-22,6710,48
2022-09-21,6427,36
2022-09-20,6126,45
2022-09-19,5965,46
2022-09-18,5796,37
2022-09-17,5691,40
2022-09-16,5798,37
2022-09-15,5832,44
2022-09-14,5795,41
2022-09-13,5870,47
2022-09-12,5914,41
2022-09-11,5970,29
2022-09-10,5931,42
2022-09-09,6095,37
2022-09-08,6215,45
2022-09-07,6273,58
2022-09-06,6452,37
2022-09-05,6562,39
2022-09-04,6570,42
2022-09-03,6531,52
2022-09-02,6708,46
2022-09-01,6957,42
2022-08-31,7050,71
2022-08-30,7154,40
2022-08-29,7163,54
2022-08-28,7105,57
2022-08-27,7181,57
2022-08-26,7240,42
2022-08-25,7743,47
2022-08-24,7830,53
2022-08-23,8018,77
2022-08-22,8488,62
2022-08-21,8393,58
2022-08-20,8469,73
2022-08-19,8789,68
2022-08-18,9200,61
2022-08-17,9340,56
2022-08-16,9734,69
2022-08-15,10021,86
2022-08-14,10041,90
2022-08-13,9889,87
2022-08-12,9957,104
2022-08-11,10240,96
2022-08-10,10429,73
2022-08-09,10583,87
2022-08-08,10916,94
2022-08-07,10833,98
2022-08-06,10890,66
2022-08-05,11298,81
2022-08-04,11738,80
2022-08-03,12129,105
2022-08-02,12542,100
2022-08-01,12857,90
2022-07-31,12901,95
2022-07-30,13030,75
2022-07-29,13728,112
2022-07-28,14089,120
2022-07-27,14646,113
2022-07-26,14949,119
2022-07-25,15390,112
2022-07-24,15461,129
2022-07-23,15382,124
2022-07-22,16220,114
2022-07-21,16490,122
2022-07-20,16715,186
2022-07-19,17020,214
2022-07-18,17218,124
2022-07-17,17095,156
2022-07-16,16992,113
2022-07-15,17319,102
2022-07-14,17198,120
2022-07-13,17106,130
2022-07-12,16980,148
2022-07-11,16588,123
2022-07-10,16125,116
2022-07-09,15626,103
2022-07-08,15444,103
2022-07-07,15026,98
2022-07-06,14645,108
2022-07-05,14160,101
2022-07-04,13676,87
2022-07-03,12882,68
2022-07-02,12471,89
2022-07-01,12153,78
2022-06-30,11603,74
